Symbol,Sector,,,,,
PENINLAND,Real Estate,,,,,
GGBL,Renewable Energy,,,,,
YATRA,Online Services,,,,,
SALASAR,Iron & Steel,,,,,
ARIHANT,Real Estate,,,,,
SIGNPOST,Advertising,,,,,
ARISINFRA,Building Products - Others,,,,,
ONEPOINT,Outsourced services,,,,,
HITECHGEAR,Auto Parts,,,,,
GARUDA,Construction & Engineering,,,,,
WEALTH,Diversified Financials,,,,,
KELLTONTEC,IT Services & Consulting,,,,,
STEELXIND,Iron & Steel,,,,,
INDORAMA,Textiles,,,,,
BENARAS,"Hotels, Resorts & Cruise Lines",,,,,
STERTOOLS,Industrial Machinery,,,,,
ASIANENE,Oil & Gas - Exploration & Production,,,,,
TEXINFRA,Real Estate,,,,,
VHL,Diversified Financials,,,,,
CFF,Aerospace & Defense Equipments,,,,,
ATULAUTO,Three Wheelers,,,,,
GTPL,Cable & D2H,,,,,
AFSL,Asset Management,,,,,
CIANAGRO,Agro Products,,,,,
FAIRCHEMOR,Specialty Chemicals,,,,,
PRAVEG,Advertising,,,,,
SCODATUBES,Industrial Machinery,,,,,
CAPITALSFB,Private Banks,,,,,
UNIECOM,Software Services,,,,,
OAL,Specialty Chemicals,,,,,
RGL,"Precious Metals, Jewellery & Watches",,,,,
TBZ,"Precious Metals, Jewellery & Watches",,,,,
KRISHNADEF,Industrial Machinery,,,,,
5PAISA,Diversified Financials,,,,,
IRMENERGY,Gas Distribution,,,,,
BUTTERFLY,Home Electronics & Appliances,,,,,
YSL,Commodities Trading,,,,,
OMINFRAL,Construction & Engineering,,,,,
INNOVANA,Software Services,,,,,
KROSS,Auto Parts,,,,,
VASCONEQ,Construction & Engineering,,,,,
BCLIND,FMCG - Foods,,,,,
TANAA,Aerospace & Defense Equipments,,,,,
MONTECARLO,Apparel & Accessories,,,,,
KOKUYOCMLN,Stationery,,,,,
KPL,Pharmaceuticals,,,,,
MICEL,Electrical Components & Equipments,,,,,
HARAFIN,Specialized Finance,,,,,
MIDWEST,Mining - Diversified,,,,,
ESTER,Commodity Chemicals,,,,,
AAYUSH,Wellness Services,,,,,
BARBEQUE,Restaurants & Cafes,,,,,
DECCANCE,Cement,,,,,
ICEMAKE,Electrical Components & Equipments,,,,,
DVL,Specialty Chemicals,,,,,
ESFL,Plastic Products,,,,,
CEWATER,Environmental Services,,,,,
NELCAST,Iron & Steel,,,,,
PROSTARM,Power Generation,,,,,
WCIL,Logistics,,,,,
DIFFNKG,Industrial Machinery,,,,,
AEROENTER,Plastic Products,,,,,
BLUSPRING,Business Support Services,,,,,
AMAL,Commodity Chemicals,,,,,
OSWALGREEN,Real Estate,,,,,
ECORECO,Business Support Services,,,,,
BMW,Iron & Steel,,,,,
ASTAR,"Precious Metals, Jewellery & Watches",,,,,
SHIVACEM,Cement,,,,,
DHARMAJ,Fertilizers & Agro Chemicals,,,,,
TNPL,Paper Products,,,,,
MANALIPETC,Specialty Chemicals,,,,,
VALIANTORG,Commodity Chemicals,,,,,
THEMISMED,Pharmaceuticals,,,,,
PDMJEPAPER,Paper Products,,,,,
SARTELE,Telecom Infrastructure,,,,,
VTMLTD,Textiles,,,,,
DHANBANK,Private Banks,,,,,
FERMENTA,Pharmaceuticals,,,,,
GALAPREC,Industrial Machinery,,,,,
INDOAMIN,Specialty Chemicals,,,,,
SRHHYPOLTD,Commodity Chemicals,,,,,
SAHANA,IT Services & Consulting,,,,,
MIIL,Real Estate,,,,,
SHREEPUSHK,Specialty Chemicals,,,,,
MAMATA,Industrial Machinery,,,,,
USASEEDS,Seeds,,,,,
CNCRD,Electrical Components & Equipments,,,,,
ORIRAIL,Rail,,,,,
RACLGEAR,Auto Parts,,,,,
PIFL,Home Financing,,,,,
MATRIMONY,Online Services,,,,,
ANDHRSUGAR,Commodity Chemicals,,,,,
BALAJITELE,Movies & TV Serials,,,,,
RISHABH,Electrical Components & Equipments,,,,,
CENTENKA,Textiles,,,,,
INDPRUD,Investment Banking & Brokerage,,,,,
ABINFRA,Construction & Engineering,,,,,
WORTH,Specialized Finance,,,,,
CREST,Asset Management,,,,,
SHREDIGCEM,Cement,,,,,
MUFTI,Apparel & Accessories,,,,,
LIKHITHA,Construction & Engineering,,,,,
KUANTUM,Paper Products,,,,,
LINCOLN,Pharmaceuticals,,,,,
ROHLTD,"Hotels, Resorts & Cruise Lines",,,,,
UTTAMSUGAR,Sugar,,,,,
MVGJL,"Precious Metals, Jewellery & Watches",,,,,
DISHTV,Cable & D2H,,,,,
SRM,Construction & Engineering,,,,,
APS,Renewable Energy,,,,,
ISTLTD,Industrial Machinery,,,,,
BIL,Apparel & Accessories,,,,,
TAALENT,Conglomerates,,,,,
GICHSGFIN,Home Financing,,,,,
OSWALAGRO,Real Estate,,,,,
REMUS,Pharmaceuticals,,,,,
XCHANGING,IT Services & Consulting,,,,,
CHEMFAB,Commodity Chemicals,,,,,
KABRAEXTRU,Industrial Machinery,,,,,
UNIENTER,Fertilizers & Agro Chemicals,,,,,
WAAREEINDO,Renewable Energy Equipment & Services,,,,,
VAKRANGEE,Outsourced services,,,,,
TGVSL,Commodity Chemicals,,,,,
PASHUPATI,Textiles,,,,,
KOTHARIPET,Commodity Chemicals,,,,,
GULPOLY,Specialty Chemicals,,,,,
PRIMESECU,Investment Banking & Brokerage,,,,,
KMCSHIL,Hospitals & Diagnostic Centres,,,,,
GKWLIMITED,Logistics,,,,,
HAZOOR,Real Estate,,,,,
ZFSTEERING,Auto Parts,,,,,
ACGL,Trucks & Buses,,,,,
ANUHPHR,Pharmaceuticals,,,,,
SEKURITIND,Auto Parts,,,,,
ADSL,IT Services & Consulting,,,,,
AVTNPL,Agro Products,,,,,
RICOAUTO,Auto Parts,,,,,
BPLPHARMA,Pharmaceuticals,,,,,
GNRL,Oil & Gas - Exploration & Production,,,,,
BASILIC,Animation,,,,,
MACPOWER,Industrial Machinery,,,,,
DENTALKART,Hospitals & Diagnostic Centres,,,,,
OWAIS,Metals - Diversified,,,,,
VERITAS,Commodities Trading,,,,,
SSEGL,Construction & Engineering,,,,,
MONOLITH,Building Products - Others,,,,,
TOTEM,Industrial Machinery,,,,,
EBIX,Construction & Engineering,,,,,
TVTODAY,TV Channels & Broadcasters,,,,,
AVADHSUGAR,Sugar,,,,,
HEXATRADEX,Commodities Trading,,,,,
SELAN,Oil & Gas - Exploration & Production,,,,,
RADHIKAJWE,"Precious Metals, Jewellery & Watches",,,,,
PARSVNATH,Real Estate,,,,,
KODYTECH,Software Services,,,,,
ACLGATI,Logistics,,,,,
C2C,Software Services,,,,,
BIRLAMONEY,Investment Banking & Brokerage,,,,,
SAFEENTP,Building Products - Others,,,,,
SNOWMAN,Logistics,,,,,
MERCURYEV,Commodities Trading,,,,,
DHAMPURSUG,Sugar,,,,,
SAURASHCEM,Cement,,,,,
UPHOT,"Hotels, Resorts & Cruise Lines",,,,,
BEEKAY,Iron & Steel,,,,,
NCLIND,Cement,,,,,
KHAICHEM,Fertilizers & Agro Chemicals,,,,,
ARROWGREEN,Packaging,,,,,
TUTIALKA,Commodity Chemicals,,,,,
SUYOG,Construction & Engineering,,,,,
JAYTEX,Textiles,,,,,
FOCE,"Precious Metals, Jewellery & Watches",,,,,
ETL,Industrial Machinery,,,,,
MAXIND,Hospitals & Diagnostic Centres,,,,,
RDBIPL,Real Estate,,,,,
NDTV,TV Channels & Broadcasters,,,,,
SRAMSET,Asset Management,,,,,
BANGANGA,Paper Products,,,,,
TAC,IT Services & Consulting,,,,,
NAHARSPING,Textiles,,,,,
JITFINFRA,Shipbuilding,,,,,
ABCOTS,Textiles,,,,,
TNPETRO,Commodity Chemicals,,,,,
BODALCHEM,Commodity Chemicals,,,,,
SARLAPOLY,Textiles,,,,,
SHRJAGP,Textiles,,,,,
COOLCAPS,Plastic Products,,,,,
ENKEIWHEL,Auto Parts,,,,,
JAGAJITIND,Alcoholic Beverages,,,,,
PAKKA,Paper Products,,,,,
AMBIKCO,Textiles,,,,,
PVSL,Four Wheelers,,,,,
PPL,Building Products - Pipes,,,,,
MAGADSUGAR,Sugar,,,,,
ASAL,Auto Parts,,,,,
VMARCIND,Electrical Components & Equipments,,,,,
TRANSPEK,Commodity Chemicals,,,,,
KRYSTAL,Business Support Services,,,,,
ELIN,Electronic Equipments,,,,,
GARGI,Retail - Speciality,,,,,
SILVERTUC,IT Services & Consulting,,,,,
KRITI,Building Products - Pipes,,,,,
WANBURY,Pharmaceuticals,,,,,
KECL,Heavy Electrical Equipments,,,,,
BESTAGRO,Diversified Chemicals,,,,,
ARIHANTCAP,Diversified Financials,,,,,
SHUKRAPHAR,Pharmaceuticals,,,,,
FEDDERSHOL,Diversified Financials,,,,,
MAFATIND,Textiles,,,,,
ZEEMEDIA,TV Channels & Broadcasters,,,,,
RAJPALAYAM,Textiles,,,,,
DHUNINV,Asset Management,,,,,
INFOBEAN,Software Services,,,,,
CREATIVE,Technology Hardware,,,,,
SWELECTES,Electrical Components & Equipments,,,,,
JPOLYINVST,Asset Management,,,,,
GANDHITUBE,Auto Parts,,,,,
VADILENT,Packaged Foods & Meats,,,,,
MUKKA,Packaged Foods & Meats,,,,,
BIGBLOC,Building Products - Granite,,,,,
BLAL,Real Estate,,,,,
JINDALPHOT,Electronic Equipments,,,,,
RKSWAMY,Advertising,,,,,
DWARKESH,Sugar,,,,,
SATIA,Paper Products,,,,,
TECHLABS,IT Services & Consulting,,,,,
COLAB,Software Services,,,,,
EVERESTIND,Building Products - Prefab Structures,,,,,
SOLARIUM,Renewable Energy,,,,,
HDFCNIFTY,Equity,,,,,
KRISHIVAL,FMCG - Foods,,,,,
SASTASUNDR,Diversified Financials,,,,,
ARYAMAN,Investment Banking & Brokerage,,,,,
SANDESH,Publishing,,,,,
KOPRAN,Pharmaceuticals,,,,,
BHAGERIA,Specialty Chemicals,,,,,
HLVLTD,"Hotels, Resorts & Cruise Lines",,,,,
SARVESHWAR,Packaged Foods & Meats,,,,,
INDOFARM,Agricultural & Farm Machinery,,,,,
RITCO,Logistics,,,,,
LINC,Stationery,,,,,
GHCLTEXTIL,Textiles,,,,,
VIRAT,Apparel & Accessories,,,,,
RMC,Electrical Components & Equipments,,,,,
NITTAGELA,Specialty Chemicals,,,,,
NAHARPOLY,Textiles,,,,,
ZUARI,Fertilizers & Agro Chemicals,,,,,
INTEGRAEN,Industrial Machinery,,,,,
KAMDHENU,Iron & Steel,,,,,
APTECHT,Education Services,,,,,
RUSHIL,Building Products - Laminates,,,,,
VOITHPAPR,Textiles,,,,,
VLSFINANCE,Investment Banking & Brokerage,,,,,
NISUS,Specialized Finance,,,,,
NINSYS,Software Services,,,,,
BRIGHT,Advertising,,,,,
TREL,Logistics,,,,,
LEMERITE,Textiles,,,,,
IRIS,IT Services & Consulting,,,,,
STCINDIA,Commodities Trading,,,,,
DREAMFOLKS,Logistics,,,,,
CCCL,Construction & Engineering,,,,,
SUNRAKSHAK,Textiles,,,,,
NBIFIN,Diversified Financials,,,,,
REPRO,Stationery,,,,,
SHIVALIK,Fertilizers & Agro Chemicals,,,,,
JPASSOCIAT,Conglomerates,,,,,
ZTECH,Construction & Engineering,,,,,
KARNIKA,Textiles,,,,,
JAYBARMARU,Auto Parts,,,,,
KSOLVES,IT Services & Consulting,,,,,
SVLL,Logistics,,,,,
SGIL,Industrial Machinery,,,,,
MORGANITE,Industrial Machinery,,,,,
FOODSIN,FMCG - Foods,,,,,
RUBYMILLS,Textiles,,,,,
SHALPAINTS,Specialty Chemicals,,,,,
NGLFINE,Pharmaceuticals,,,,,
SKMEGGPROD,Packaged Foods & Meats,,,,,
GLOSTERLTD,Textiles,,,,,
SICALLOG,Logistics,,,,,
URJA,Renewable Energy Equipment & Services,,,,,
SCHAND,Education Services,,,,,
TEMBO,Iron & Steel,,,,,
SUTLEJTEX,Textiles,,,,,
RNBDENIMS,Textiles,,,,,
RSWM,Textiles,,,,,
TVSELECT,Technology Hardware,,,,,
DENTA,Water Management,,,,,
MUNJALAU,Auto Parts,,,,,
20MICRONS,Specialty Chemicals,,,,,
CELLECOR,Home Electronics & Appliances,,,,,
MCCHRLS-B,"Hotels, Resorts & Cruise Lines",,,,,
SUBEXLTD,Software Services,,,,,
KILITCH,Pharmaceuticals,,,,,
ONWARDTEC,Outsourced services,,,,,
GEECEE,Real Estate,,,,,
ZUARIIND,Conglomerates,,,,,
THEINVEST,Investment Banking & Brokerage,,,,,
SBGLP,Real Estate,,,,,
VIVIANA,Electrical Components & Equipments,,,,,
ELDEHSG,Real Estate,,,,,
PERMAGN,Metals - Diversified,,,,,
SBC,Apparel & Accessories,,,,,
RATNAVEER,Industrial Machinery,,,,,
A1L,Commodity Chemicals,,,,,
STALLION,Specialty Chemicals,,,,,
SAKAR,Pharmaceuticals,,,,,
AXTEL,Industrial Machinery,,,,,
STEL,Asset Management,,,,,
VISAKAIND,Cement,,,,,
MALLCOM,Business Support Services,,,,,
APEX,Packaged Foods & Meats,,,,,
ATL,Logistics,,,,,
JAYAGROGN,Specialty Chemicals,,,,,
SGRL,Pharmaceuticals,,,,,
INDOBORAX,Commodity Chemicals,,,,,
AKCAPIT,Investment Banking & Brokerage,,,,,
VEEFIN,Application Software,,,,,
MMP,Metals - Aluminium,,,,,
GANESHIN,Construction & Engineering,,,,,
ESPIRE,"Hotels, Resorts & Cruise Lines",,,,,
MEGASOFT,IT Services & Consulting,,,,,
KSE,Agro Products,,,,,
SAPL,Auto Parts,,,,,
SAHASRA,Electronic Equipments,,,,,
POEL,Commodity Chemicals,,,,,
PRECOT,Textiles,,,,,
BGRENERGY,Construction & Engineering,,,,,
MISHTANN,FMCG - Foods,,,,,
COFFEEDAY,Restaurants & Cafes,,,,,
INDSWFTLAB,Pharmaceuticals,,,,,
MANBA,Diversified Financials,,,,,
HINDCOMPOS,Auto Parts,,,,,
HALDYNGL,Packaging,,,,,
CHEMCON,Specialty Chemicals,,,,,
ORICONENT,Logistics,,,,,
CSLFINANCE,Specialized Finance,,,,,
KERALAYUR,Pharmaceuticals,,,,,
ZODIAC,Renewable Energy Equipment & Services,,,,,
LASTMILE,Construction & Engineering,,,,,
GFLLIMITED,Specialty Chemicals,,,,,
SHRADDHA,Real Estate,,,,,
ALLETEC,IT Services & Consulting,,,,,
OBSCP,Auto Parts,,,,,
ASIANHOTNR,"Hotels, Resorts & Cruise Lines",,,,,
SUDARSHAN,Pharmaceuticals,,,,,
CHEVIOT,Textiles,,,,,
ROBU,Software Services,,,,,
KAMATHOTEL,"Hotels, Resorts & Cruise Lines",,,,,
MINDTECK,IT Services & Consulting,,,,,
FOCUS,Home Electronics & Appliances,,,,,
BEMHY,Industrial Machinery,,,,,
ENIL,Radio,,,,,
SJLOGISTIC,Logistics,,,,,
KRONOX,Specialty Chemicals,,,,,
MENONBE,Auto Parts,,,,,
HIGHENE,Aerospace & Defense Equipments,,,,,
VALIANT,Telecom Equipments,,,,,
GANESHBE,Specialty Chemicals,,,,,
OCCLLTD,Commodity Chemicals,,,,,
RPPINFRA,Construction & Engineering,,,,,
VERTOZ,Advertising,,,,,
SURAJLTD,Iron & Steel,,,,,
IGCL,Fertilizers & Agro Chemicals,,,,,
HARDWYN,Building Products - Glass,,,,,
UNIABEXAL,Iron & Steel,,,,,
UNIFIED,IT Services & Consulting,,,,,
HAMPTON,Real Estate,,,,,
LICNETFSEN,Equity,,,,,
ARTSON,Construction & Engineering,,,,,
VHLTD,"Hotels, Resorts & Cruise Lines",,,,,
DMCC,Diversified Chemicals,,,,,
GCSL,Investment Banking & Brokerage,,,,,
ACCENTMIC,Pharmaceuticals,,,,,
EMPIND,Packaging,,,,,
LKPFIN,Investment Banking & Brokerage,,,,,
PREVEST,Health Care Equipment & Supplies,,,,,
YOGI,Real Estate,,,,,
CONSOFINVT,Asset Management,,,,,
FLUIDOM,Industrial Machinery,,,,,
IFBAGRO,Alcoholic Beverages,,,,,
PYRAMID,Plastic Products,,,,,
GVKPIL,Airports,,,,,
LAKSHMIMIL,Textiles,,,,,
GOLDSHARE,Gold,,,,,
EMKAY,Investment Banking & Brokerage,,,,,
RADIANTCMS,Business Support Services,,,,,
LIBERTSHOE,Footwear,,,,,
DBEIL,Construction & Engineering,,,,,
HMVL,Publishing,,,,,
KINETICENG,Auto Parts,,,,,
MBLINFRA,Construction & Engineering,,,,,
BHARATSE,Auto Parts,,,,,
MKVENTURES,Specialized Finance,,,,,
TOLINS,Tires & Rubber,,,,,
TRACXN,IT Services & Consulting,,,,,
SWISSMLTRY,Investment Banking & Brokerage,,,,,
CTCL,Industrial Machinery,,,,,
MAANALU,Metals - Aluminium,,,,,
ALPHALOGIC,Software Services,,,,,
VENUSREM,Pharmaceuticals,,,,,
KIRANVYPAR,Diversified Financials,,,,,
CLN,Batteries,,,,,
HERCULES,Industrial Machinery,,,,,
FRATELLI,Alcoholic Beverages,,,,,
SILINV,Diversified Financials,,,,,
MODINATUR,Agro Products,,,,,
RNFI,Diversified Financials,,,,,
EIFFL,FMCG - Foods,,,,,
IZMO,Software Services,,,,,
SPECIALITY,Restaurants & Cafes,,,,,
ANNAPURNA,FMCG - Foods,,,,,
NIYOGIN,Diversified Financials,,,,,
PRIMO,Commodity Chemicals,,,,,
WIMPLAST,Housewares,,,,,
ORIENTPPR,Paper Products,,,,,
ACL,Cement,,,,,
MOS,Online Services,,,,,
SHIVTEXCHEM,Specialty Chemicals,,,,,
MUNJALSHOW,Auto Parts,,,,,
INTLCONV,Industrial Machinery,,,,,
TPLPLASTEH,Plastic Products,,,,,
NAPEROL,Specialized Finance,,,,,
ARL,Textiles,,,,,
MEHAI,Electrical Components & Equipments,,,,,
PRADPME,Iron & Steel,,,,,
EMAMIPAP,Paper Products,,,,,
AEPL,Electrical Components & Equipments,,,,,
DBOL,Sugar,,,,,
BORANA,Textiles,,,,,
MAHASTEEL,Iron & Steel,,,,,
EXHICON,Advertising,,,,,
PROZONER,Real Estate,,,,,
UTINEXT50,Equity,,,,,
GPECO,Renewable Energy Equipment & Services,,,,,
IRISDOREME,Retail - Apparel,,,,,
TRANSWORLD,Logistics,,,,,
PAVNAIND,Auto Parts,,,,,
MEGATHERM,Industrial Machinery,,,,,
HARITASEAT,Auto Parts,,,,,
TARACHAND,Business Support Services,,,,,
NRAIL,Paper Products,,,,,
VINYLINDIA,Specialty Chemicals,,,,,
JYOTHI,Diversified Financials,,,,,
WSI,Industrial Machinery,,,,,
MONEYBOXX,Diversified Financials,,,,,
UNIVPHOTO,Health Care Equipment & Supplies,,,,,
JAYBEE,Electrical Components & Equipments,,,,,
ESSARSHPNG,Logistics,,,,,
JENBURPH,Pharmaceuticals,,,,,
MAZDA,Industrial Machinery,,,,,
NILASPACES,Real Estate,,,,,
KNAGRI,Agro Products,,,,,
HINDMOTORS,Four Wheelers,,,,,
ADCINDIA,Communication & Networking,,,,,
SREEL,Footwear,,,,,
MUTHOOTCAP,Diversified Financials,,,,,
BATLIBOI,Industrial Machinery,,,,,
ADVANIHOTR,"Hotels, Resorts & Cruise Lines",,,,,
BELLACASA,Textiles,,,,,
GIRIRAJ,Construction & Engineering,,,,,
OSELDEVICE,Electrical Components & Equipments,,,,,
ATMASTCO,Iron & Steel,,,,,
ORBTEXP,Textiles,,,,,
TIGERLOGS,Logistics,,,,,
DLTNCBL,Cables,,,,,
SHREERAMA,Plastic Products,,,,,
VELJAN,Industrial Machinery,,,,,
NEETUYOSHI,Auto Parts,,,,,
SPELS,Electronic Equipments,,,,,
RBZJEWEL,"Precious Metals, Jewellery & Watches",,,,,
FILATFASH,Apparel & Accessories,,,,,
SAHAJSOLAR,Renewable Energy Equipment & Services,,,,,
DONEAR,Textiles,,,,,
AZADIND,Commodities Trading,,,,,
SUNSHIEL,Specialty Chemicals,,,,,
NAHARINDUS,Textiles,,,,,
TEJASCARGO,Logistics,,,,,
AFFORDABLE,Industrial Machinery,,,,,
DICIND,Specialty Chemicals,,,,,
FORBESCO,Conglomerates,,,,,
MGEL,Commodity Chemicals,,,,,
PREMIERPOL,Home Furnishing,,,,,
SUKHJITS,Agro Products,,,,,
VINSYS,IT Services & Consulting,,,,,
ZIMLAB,Pharmaceuticals,,,,,
SPENCERS,Retail - Department Stores,,,,,
PTL,Tires & Rubber,,,,,
VRAJ,Iron & Steel,,,,,
MODISONLTD,Electrical Components & Equipments,,,,,
ONMOBILE,Software Services,,,,,
ASHIMASYN,Textiles,,,,,
S&SPOWER,Electrical Components & Equipments,,,,,
SOFTTECH,Software Services,,,,,
UGARSUGAR,Sugar,,,,,
CUPIDTR,Alcoholic Beverages,,,,,
KRITINUT,Agro Products,,,,,
IIL,FMCG - Foods,,,,,
KAYA,Wellness Services,,,,,
URAVIDEF,Electrical Components & Equipments,,,,,
MAGNAELQ,Iron & Steel,,,,,
NDL,Textiles,,,,,
MODIS,Real Estate,,,,,
VLEGOV,IT Services & Consulting,,,,,
ABSMARINE,Shipbuilding,,,,,
NIKHILAD,Commodity Chemicals,,,,,
ALBERTDAVD,Pharmaceuticals,,,,,
THOMASCOTT,Retail - Apparel,,,,,
SVRL,Wood Products,,,,,
UCIL,Specialized Finance,,,,,
BIRLACABLE,Telecom Equipments,,,,,
UTSSAV,"Precious Metals, Jewellery & Watches",,,,,
FABCLEAN,Construction & Engineering,,,,,
HCL-INSYS,IT Services & Consulting,,,,,
SAYAJIHOTL,"Hotels, Resorts & Cruise Lines",,,,,
EFFWA,Environmental Services,,,,,
NRL,Metals - Diversified,,,,,
NAHARCAP,Asset Management,,,,,
UMA,Packaging,,,,,
MODINSU,Electrical Components & Equipments,,,,,
CLEDUCATE,Education Services,,,,,
SEALMATIC,Cables,,,,,
NICCOPAR,"Hotels, Resorts & Cruise Lines",,,,,
VARDMNPOLY,Textiles,,,,,
BLACKROSE,Conglomerates,,,,,
MEDICAMEQ,Pharmaceuticals,,,,,
STOVACQ,Industrial Machinery,,,,,
PVP,Real Estate,,,,,
AVONMORE,Investment Banking & Brokerage,,,,,
PATILAUTOM,Industrial Machinery,,,,,
PLASTIBLEN,Specialty Chemicals,,,,,
DIGISPICE,Telecom Equipments,,,,,
BAHETI,Metals - Aluminium,,,,,
SUPREMEPWR,Power Transmission & Distribution,,,,,
CYBERTECH,IT Services & Consulting,,,,,
ASAHISONG,Specialty Chemicals,,,,,
SUNITATOOL,Industrial Machinery,,,,,
KOTHARIPRO,Commodities Trading,,,,,
AVPINFRA,Construction & Engineering,,,,,
REFEXRENEW,Renewable Energy,,,,,
RUDRAECO,Textiles,,,,,
NILAINFRA,Real Estate,,,,,
DENORA,Electrical Components & Equipments,,,,,
IIRM,Insurance,,,,,
TIRUPATI,Packaging,,,,,
GENUSPAPER,Paper Products,,,,,
COMSYN,Packaging,,,,,
RAINBOWF,Real Estate,,,,,
BANSWRAS,Textiles,,,,,
SRD,Specialty Chemicals,,,,,
CHANDAN,Pharmaceuticals,,,,,
RAGHUSYN,Textiles,,,,,
KHADIM,Footwear,,,,,
INVPRECQ,Auto Parts,,,,,
SINCLAIR,"Hotels, Resorts & Cruise Lines",,,,,
JOSTS,Industrial Machinery,,,,,
LEHAR,Footwear,,,,,
LUDLOWJUT,Textiles,,,,,
SEJALLTD,Building Products - Glass,,,,,
SRGHFL,Consumer Finance,,,,,
CGRAPHICS,Stationery,,,,,
MWL,Iron & Steel,,,,,
MADHUVEER,Movies & TV Serials,,,,,
EUROBOND,Metals - Aluminium,,,,,
BEDMUTHA,Iron & Steel,,,,,
VALIANTLAB,Pharmaceuticals,,,,,
HIGREEN,Commodity Chemicals,,,,,
NILE,Metals - Lead,,,,,
MANAKSIA,Metals - Diversified,,,,,
NOVAAGRI,Fertilizers & Agro Chemicals,,,,,
BSLNIFTY,Equity,,,,,
HTMEDIA,Publishing,,,,,
RAMAPHO,Fertilizers & Agro Chemicals,,,,,
REMSONSIND,Auto Parts,,,,,
SOBME,Diversified Financials,,,,,
SOUTHWEST,Mining - Diversified,,,,,
KISAN,Building Products - Pipes,,,,,
MANORG,Commodity Chemicals,,,,,
GOODRICKE,Tea & Coffee,,,,,
VIKRAMTH,Pharmaceuticals,,,,,
PANCHMAHQ,Iron & Steel,,,,,
CWD,Home Electronics & Appliances,,,,,
GSLSU,Building Products - Ceramics,,,,,
AARTISURF,Specialty Chemicals,,,,,
GUJAPOLLO,Industrial Machinery,,,,,
VVIPIL,Construction & Engineering,,,,,
RHL,"Hotels, Resorts & Cruise Lines",,,,,
VIKASLIFE,Plastic Products,,,,,
HPAL,Diversified Chemicals,,,,,
EMAMIREAL,Real Estate,,,,,
METAINFO,Software Services,,,,,
IL&FSENGG,Construction & Engineering,,,,,
FCSSOFT,Software Services,,,,,
OILCOUNTUB,Oil & Gas - Equipment & Services,,,,,
RAMANEWS,Paper Products,,,,,
KANPRPLA,Packaging,,,,,
UVS,Restaurants & Cafes,,,,,
ORIENTCER,Metals - Diversified,,,,,
GLOBECIVIL,Construction & Engineering,,,,,
ALANKIT,Investment Banking & Brokerage,,,,,
POOJAENT,Movies & TV Serials,,,,,
SAKUMA,Commodities Trading,,,,,
INFOLLION,Business Support Services,,,,,
BROOKS,Labs & Life Sciences Services,,,,,
PASUPTAC,Textiles,,,,,
XTGLOBAL,IT Services & Consulting,,,,,
MIRZAINT,Footwear,,,,,
UNIDT,Oil & Gas - Equipment & Services,,,,,
RUBFILA,Commodity Chemicals,,,,,
MOLDTECH,Construction & Engineering,,,,,
DANLAW,IT Services & Consulting,,,,,
FRESHARA,Agro Products,,,,,
SPCENET,Online Services,,,,,
PANSARI,Real Estate,,,,,
BCCL,Specialty Chemicals,,,,,
IFINSEC,Diversified Financials,,,,,
GOACARBON,Metals - Coke,,,,,
ARIES,Fertilizers & Agro Chemicals,,,,,
PELATRO,Advertising,,,,,
PCCL,Metals - Coke,,,,,
ANDHRAPET,Commodity Chemicals,,,,,
VGINFOTECH,Software Services,,,,,
LOKESHMACH,Industrial Machinery,,,,,
SACHEEROME,FMCG - Personal Products,,,,,
CPL,Industrial Machinery,,,,,
EVEXIA,Fertilizers & Agro Chemicals,,,,,
ARFIN,Metals - Aluminium,,,,,
ORIENTBELL,Building Products - Ceramics,,,,,
TIRUPATIFL,Auto Parts,,,,,
APCL,Cement,,,,,
SHINDL,Packaged Foods & Meats,,,,,
VISHNUINFR,Construction & Engineering,,,,,
DCI,IT Services & Consulting,,,,,
PHANTOMFX,Animation,,,,,
GOKUL,Packaged Foods & Meats,,,,,
SUPERSHAKT,Iron & Steel,,,,,
INFINIUM,Commodity Chemicals,,,,,
NIMBSPROJ,Real Estate,,,,,
GEE,Industrial Machinery,,,,,
LORDSCHLO,Commodity Chemicals,,,,,
VIKASECO,Specialty Chemicals,,,,,
AVG,Logistics,,,,,
ASMS,Payment Infrastructure,,,,,
NECLIFE,Pharmaceuticals,,,,,
TICL,Construction & Engineering,,,,,
FREDUN,Pharmaceuticals,,,,,
BYKE,"Hotels, Resorts & Cruise Lines",,,,,
NDGL,Investment Banking & Brokerage,,,,,
WELINV,Diversified Financials,,,,,
KAYCEEI,Electrical Components & Equipments,,,,,
SHREEKARNI,Textiles,,,,,
GCHOTELS,"Hotels, Resorts & Cruise Lines",,,,,
TRF,Industrial Machinery,,,,,
INSPIRISYS,IT Services & Consulting,,,,,
MANAKSTEEL,Iron & Steel,,,,,
RADIOCITY,Radio,,,,,
SINGER,Home Electronics & Appliances,,,,,
RUCHIRA,Paper Products,,,,,
NATHBIOGEN,Agro Products,,,,,
BPL,Home Electronics & Appliances,,,,,
DYNPRO,Commodity Chemicals,,,,,
VISASTEEL,Iron & Steel,,,,,
RIDDHI,Commodities Trading,,,,,
DHABRIYA,Building Products - Laminates,,,,,
KCEIL,Construction & Engineering,,,,,
MIRCELECTR,Home Electronics & Appliances,,,,,
SHIVAUM,Commodities Trading,,,,,
