Symbol,Sector,,,,,
BERGEPAINT,Paints,,,,,
COLPAL,FMCG - Personal Products,,,,,
VMM,FMCG - Foods,,,,,
MRF,Tires & Rubber,,,,,
NYKAA,Wellness Services,,,,,
COFORGE,IT Services & Consulting,,,,,
YESBANK,Private Banks,,,,,
GLENMARK,Pharmaceuticals,,,,,
PAYTM,Online Services,,,,,
UNOMINDA,Auto Parts,,,,,
IRCTC,Online Services,,,,,
PIIND,Diversified Chemicals,,,,,
NMDC,Mining - Iron Ore,,,,,
PATANJALI,Packaged Foods & Meats,,,,,
KALYANKJIL,"Precious Metals, Jewellery & Watches",,,,,
AUBANK,Consumer Finance,,,,,
UPL,Fertilizers & Agro Chemicals,,,,,
FORTIS,Hospitals & Diagnostic Centres,,,,,
GVT&D,Heavy Electrical Equipments,,,,,
FACT,Fertilizers & Agro Chemicals,,,,,
LINDEINDIA,Commodity Chemicals,,,,,
ALKEM,Pharmaceuticals,,,,,
BHARATFORG,Iron & Steel,,,,,
JSL,Iron & Steel,,,,,
MOTILALOFS,Diversified Financials,,,,,
SUNDARMFIN,Consumer Finance,,,,,
TIINDIA,Cycles,,,,,
SAIL,Iron & Steel,,,,,
IDFCFIRSTB,Private Banks,,,,,
MFSL,Insurance,,,,,
PAGEIND,Apparel & Accessories,,,,,
PHOENIXLTD,Real Estate,,,,,
GLAXO,Pharmaceuticals,,,,,
MPHASIS,IT Services & Consulting,,,,,
BANKINDIA,Public Banks,,,,,
SUPREMEIND,Plastic Products,,,,,
FEDERALBNK,Private Banks,,,,,
UBL,Alcoholic Beverages,,,,,
HEXT,IT Services & Consulting,,,,,
NAM-INDIA,Asset Management,,,,,
LTF,Consumer Finance,,,,,
BALKRISIND,Tires & Rubber,,,,,
COCHINSHIP,Shipbuilding,,,,,
BIOCON,Biotechnology,,,,,
JKCEMENT,Cement,,,,,
PREMIERENE,Renewable Energy,,,,,
TATACOMM,Telecom Services,,,,,
ITCHOTELS,"Hotels, Resorts & Cruise Lines",,,,,
360ONE,Investment Banking & Brokerage,,,,,
GODFRYPHLP,FMCG - Tobacco,,,,,
APLAPOLLO,Building Products - Pipes,,,,,
CONCOR,Logistics,,,,,
HUDCO,Specialized Finance,,,,,
LTTS,Software Services,,,,,
PETRONET,Oil & Gas - Storage & Transportation,,,,,
VOLTAS,Home Electronics & Appliances,,,,,
JUBLFOOD,Restaurants & Cafes,,,,,
IREDA,Specialized Finance,,,,,
LAURUSLABS,Pharmaceuticals,,,,,
AIIL,Specialized Finance,,,,,
CRISIL,Stock Exchanges & Ratings,,,,,
MAHABANK,Public Banks,,,,,
PGHH,FMCG - Personal Products,,,,,
MCX,Stock Exchanges & Ratings,,,,,
NH,Hospitals & Diagnostic Centres,,,,,
KPRMILL,Textiles,,,,,
DALBHARAT,Cement,,,,,
KAYNES,Electrical Components & Equipments,,,,,
ASTRAL,Building Products - Pipes,,,,,
UCOBANK,Public Banks,,,,,
COHANCE,Pharmaceuticals,,,,,
THERMAX,Industrial Machinery,,,,,
SJVN,Renewable Energy,,,,,
CHOLAHLDNG,Diversified Financials,,,,,
TATAELXSI,Software Services,,,,,
ENDURANCE,Auto Parts,,,,,
BLUESTARCO,Home Electronics & Appliances,,,,,
FLUOROCHEM,Specialty Chemicals,,,,,
M&MFIN,Consumer Finance,,,,,
ACC,Cement,,,,,
IPCALAB,Pharmaceuticals,,,,,
GODREJIND,Diversified Chemicals,,,,,
RADICO,Alcoholic Beverages,,,,,
ESCORTS,Tractors,,,,,
HONAUT,Electronic Equipments,,,,,
MEDANTA,Hospitals & Diagnostic Centres,,,,,
KEI,Cables,,,,,
POONAWALLA,Consumer Finance,,,,,
APARINDS,Electrical Components & Equipments,,,,,
CDSL,Stock Exchanges & Ratings,,,,,
GILLETTE,FMCG - Personal Products,,,,,
NATIONALUM,Metals - Aluminium,,,,,
AWL,FMCG - Foods,,,,,
CENTRALBK,Public Banks,,,,,
KPITTECH,IT Services & Consulting,,,,,
3MINDIA,Stationery,,,,,
LICHSGFIN,Home Financing,,,,,
AJANTPHARM,Pharmaceuticals,,,,,
TATAINVEST,Asset Management,,,,,
EXIDEIND,Batteries,,,,,
GODIGIT,Insurance,,,,,
EMBASSY,Real Estate,,,,,
METROBRAND,Footwear,,,,,
GUJGASLTD,Gas Distribution,,,,,
NLCINDIA,Metals - Diversified,,,,,
AIAENG,Industrial Machinery,,,,,
GLAND,Pharmaceuticals,,,,,
ITI,Telecom Equipments,,,,,
GRSE,Shipbuilding,,,,,
NBCC,Construction & Engineering,,,,,
IGL,Gas Distribution,,,,,
DELHIVERY,Logistics,,,,,
NIACL,Insurance,,,,,
ASTERDM,Hospitals & Diagnostic Centres,,,,,
WOCKPHARMA,Pharmaceuticals,,,,,
PEL,Diversified Financials,,,,,
ISEC,Investment Banking & Brokerage,,,,,
TATATECH,IT Services & Consulting,,,,,
IRB,Construction & Engineering,,,,,
APOLLOTYRE,Tires & Rubber,,,,,
INOXWIND,Heavy Electrical Equipments,,,,,
AEGISVOPAK,Oil & Gas - Storage & Transportation,,,,,
KIMS,Hospitals & Diagnostic Centres,,,,,
PNBHOUSING,Home Financing,,,,,
BANDHANBNK,Private Banks,,,,,
SONACOMS,Auto Parts,,,,,
MSUMI,Cables,,,,,
BAYERCROP,Fertilizers & Agro Chemicals,,,,,
AFFLE,Advertising,,,,,
PPLPHARMA,Pharmaceuticals,,,,,
SUMICHEM,Commodity Chemicals,,,,,
RPOWER,Power Generation,,,,,
DEEPAKNTR,Commodity Chemicals,,,,,
RAMCOCEM,Cement,,,,,
NUVAMA,Diversified Financials,,,,,
IKS,Health Care Equipment & Supplies,,,,,
BRIGADE,Real Estate,,,,,
TVSHLTD,Auto Parts,,,,,
AEGISLOG,Oil & Gas - Storage & Transportation,,,,,
AMBER,Home Electronics & Appliances,,,,,
EMCURE,Pharmaceuticals,,,,,
SYNGENE,Labs & Life Sciences Services,,,,,
JBCHEPHARM,Pharmaceuticals,,,,,
EMAMILTD,FMCG - Personal Products,,,,,
HSCL,Commodity Chemicals,,,,,
NAVINFLUOR,Specialty Chemicals,,,,,
HINDCOPPER,Mining - Copper,,,,,
TIMKEN,Industrial Machinery,,,,,
MRPL,Oil & Gas - Refining & Marketing,,,,,
STARHEALTH,Insurance,,,,,
PFIZER,Pharmaceuticals,,,,,
ABREL,Textiles,,,,,
ZFCVINDIA,Auto Parts,,,,,
JSWHL,Asset Management,,,,,
ABSLAMC,Asset Management,,,,,
ANGELONE,Investment Banking & Brokerage,,,,,
WELCORP,Iron & Steel,,,,,
LALPATHLAB,Hospitals & Diagnostic Centres,,,,,
REDINGTON,Technology Hardware,,,,,
FSL,Outsourced services,,,,,
SKFINDIA,Industrial Machinery,,,,,
CESC,Power Generation,,,,,
SHYAMMETL,Iron & Steel,,,,,
ERIS,Pharmaceuticals,,,,,
TATACHEM,Diversified Chemicals,,,,,
EIHOTEL,"Hotels, Resorts & Cruise Lines",,,,,
JYOTICNC,Industrial Machinery,,,,,
KEC,Construction & Engineering,,,,,
CPSEETF,Equity,,,,,
FIVESTAR,Consumer Finance,,,,,
ASTRAZEN,Pharmaceuticals,,,,,
